state,district,total_demo,total_bio,infra_ratio_pct
nagaland,dimapur,8215,25223,306.9985394352483
nagaland,kiphire,1958,4310,220.0102092904543
nagaland,kohima,3308,13953,421.6681776971895
nagaland,longleng,820,2674,325.700365408039
nagaland,meluri,96,865,891.7525773195877
nagaland,mokokchung,2696,8545,316.83351872450874
nagaland,mon,4662,14044,301.1794981771392
nagaland,niuland,373,285,76.20320855614973
nagaland,noklak,447,747,166.74107142857142
nagaland,peren,1804,4584,253.9612188365651
nagaland,phek,1468,8758,596.1878829135467
nagaland,shamator,433,170,39.1705069124424
nagaland,tseminyu,91,186,202.17391304347828
nagaland,tuensang,4239,9708,228.9622641509434
nagaland,wokha,1905,6927,363.4312696747114
nagaland,zunheboto,2439,7963,326.3524590163934
odisha,angul,29467,64055,217.37138591013982
odisha,anugal,11,4,33.33333333333333
odisha,anugul,1813,2106,116.09702315325248
odisha,balangir,42594,101046,237.22502641155066
odisha,baleshwar,12287,24836,202.11588541666666
odisha,baleswar,43214,104674,242.21682286243205
odisha,bargarh,35471,81807,230.62415426251692
odisha,baudh,1130,4845,428.38196286472146
odisha,bhadrak,42650,97680,229.02159386649785
odisha,boudh,9187,24307,264.5515890291685
odisha,cuttack,50671,141068,278.3943795389959
odisha,debagarh,7989,16252,203.40425531914894
odisha,dhenkanal,29983,77647,258.96144610458913
odisha,gajapati,21388,59008,275.8801252980504
odisha,ganjam,98839,188862,191.07851072440306
odisha,jagatsinghapur,15689,48402,308.48948374760994
odisha,jagatsinghpur,5173,12093,233.72632392732896
odisha,jajpur,45707,37046,81.04926927452524
odisha,jharsuguda,16786,25856,154.0239471019241
odisha,kalahandi,47395,94924,200.27850451514894
odisha,kandhamal,32045,59939,187.04050427510455
odisha,kendrapara,39919,78386,196.35771543086173
odisha,kendujhar,54438,102233,187.79367732691637
odisha,khorda,37598,94322,250.86305486848053
odisha,khordha,8656,22625,261.34919718147165
odisha,koraput,42260,105211,248.9553015782873
odisha,malkangiri,21072,48236,228.89953969534474
odisha,mayurbhanj,71521,156985,219.49190458879784
odisha,nabarangapur,41836,90586,216.5212610846858
odisha,nayagarh,23512,62032,263.82001446008593
odisha,nuapada,18245,46953,257.3331141072016
odisha,puri,32863,74923,227.97894352482962
odisha,rayagada,32371,60299,186.26899789941925
odisha,sambalpur,30320,52322,172.560271758847
odisha,sonapur,13267,26325,198.40970756707867
odisha,subarnapur,4360,6505,149.16303600091723
odisha,sundargarh,7660,16187,211.29095418352696
odisha,sundergarh,42676,94260,220.868383438386
puducherry,karaikal,6322,16246,256.9349992092361
puducherry,puducherry,19774,53425,270.1643489254109
puducherry,yanam,313,223,71.01910828025477
punjab,amritsar,99075,155008,156.4536315555735
punjab,barnala,13504,35539,263.1543872639763
punjab,bathinda,37420,96740,258.5179444696828
punjab,faridkot,14722,39412,267.69000882972216
punjab,fatehgarh sahib,15346,37399,243.6893203883495
punjab,fazilka,31662,61395,193.90139910937057
punjab,ferozepur,28195,55330,196.2335082990495
punjab,firozpur,6524,11480,175.93869731800766
punjab,gurdaspur,71972,119235,165.6662915259889
punjab,hoshiarpur,46549,92764,199.27819548872182
punjab,jalandhar,51131,141270,276.2849096456231
punjab,kapurthala,13872,54103,389.9877459814027
punjab,ludhiana,119703,190927,159.49926485330482
punjab,malerkotla,15099,13787,91.30463576158941
punjab,mansa,23555,59039,250.63253523518424
punjab,moga,24046,61344,255.10042832785794
punjab,mohali,58072,57841,99.60050281542196
punjab,muktsar,3551,8879,249.97184684684686
punjab,nawanshahr,2958,4189,141.5680973301791
punjab,pathankot,14496,26596,183.45864661654133
punjab,patiala,89052,119311,133.97751900553604
punjab,rupnagar,13705,45453,331.6284838756749
punjab,sangrur,29915,82470,275.67188126754917
punjab,sas nagarmohali,2321,2735,117.78639104220498
punjab,shaheed bhagat singh nagar,6344,30500,480.6934594168637
punjab,sri muktsar sahib,21691,56223,259.1877189747372
punjab,tarn taran,27415,80702,294.36095710533993
rajasthan,ajmer,124036,141858,114.36748712077849
rajasthan,alwar,144744,223449,154.3742443607724
rajasthan,balotra,503,6,1.1904761904761905
rajasthan,banswara,101294,93711,92.51295720420553
rajasthan,baran,78758,80256,101.90073515407762
rajasthan,barmer,111721,196765,176.12019118884373
rajasthan,beawar,510,8,1.5655577299412915
rajasthan,bharatpur,105063,141155,134.3514429300236
rajasthan,bhilwara,97739,120019,122.79414773889911
rajasthan,bikaner,81652,130871,160.27702595128164
rajasthan,bundi,48701,62857,129.06451480432014
rajasthan,chittaurgarh,2065,2238,108.32526621490803
rajasthan,chittorgarh,61824,62598,101.25030327537404
rajasthan,churu,76097,133224,175.06898998659622
rajasthan,dausa,50267,106330,211.52621946367472
rajasthan,deeg,1299,158,12.153846153846153
rajasthan,dhaulpur,488,400,81.79959100204499
rajasthan,dholpur,77555,74417,95.95260199081955
rajasthan,didwanakuchaman,720,8,1.1095700416088765
rajasthan,dungarpur,95308,86558,90.81828578623214
rajasthan,ganganagar,69218,102528,148.12118060070213
rajasthan,hanumangarh,77237,96633,125.11069680727103
rajasthan,jaipur,275340,355884,129.25209104346973
rajasthan,jaisalmer,21384,44977,210.32031797989242
rajasthan,jalor,66690,99786,149.62438709870898
rajasthan,jalore,1036,20,1.9286403085824495
rajasthan,jhalawar,81092,80112,98.79027782915911
rajasthan,jhunjhunu,2742,1941,70.76193948231862
rajasthan,jhunjhunun,54652,110392,201.98708213638776
rajasthan,jodhpur,139970,219033,156.48455751548536
rajasthan,karauli,58446,80971,138.5374783992335
rajasthan,khairthaltijara,1057,15,1.4177693761814745
rajasthan,kota,93066,93354,100.30837998431237
rajasthan,kotputlibehror,529,7,1.3207547169811322
rajasthan,nagaur,103427,205368,198.56131801833158
rajasthan,pali,66337,155910,235.0236666767162
rajasthan,phalodi,204,2,0.975609756097561
rajasthan,pratapgarh,48556,56287,115.91943489095291
rajasthan,rajsamand,47170,61962,131.3561298255284
rajasthan,salumbar,213,1,0.46728971962616817
rajasthan,sawai madhopur,45155,81422,180.3126937726991
rajasthan,sikar,78337,161613,206.30217774260257
rajasthan,sirohi,41293,70150,169.87940136581585
rajasthan,tonk,56628,79923,141.1344011019089
rajasthan,udaipur,127492,179778,141.01009467186435
sikkim,east,5867,5523,94.12065439672801
sikkim,east sikkim,3513,4089,116.36311895276039
sikkim,namchi,282,5,1.76678445229682
sikkim,north,443,307,69.14414414414415
sikkim,north sikkim,446,918,205.36912751677852
sikkim,south,3739,3050,81.55080213903744
sikkim,south sikkim,1409,2053,145.60283687943263
sikkim,west,2553,3584,140.3288958496476
sikkim,west sikkim,2021,3291,162.75964391691394
tamil nadu,ariyalur,23351,77473,331.76173347036655
tamil nadu,chengalpattu,21533,6248,29.014581591901177
tamil nadu,chennai,148368,233031,157.0617851437969
tamil nadu,coimbatore,117738,219722,186.6178581438606
tamil nadu,cuddalore,81595,168105,206.02112848669054
tamil nadu,dharmapuri,41380,104858,253.39648631014234
tamil nadu,dindigul,57577,186123,323.2536732779881
tamil nadu,erode,68409,147495,215.60444379476684
tamil nadu,kallakurichi,10790,4818,44.64831804281346
tamil nadu,kancheepuram,141293,233919,165.55480062847678
tamil nadu,kanchipuram,8,9,100.0
tamil nadu,kanniyakumari,38678,69432,179.50826029628482
tamil nadu,kanyakumari,20696,29748,143.7309755036962
tamil nadu,karur,27344,57807,211.39879319802523
tamil nadu,krishnagiri,61909,120803,195.12679696333387
tamil nadu,madurai,106052,213798,201.59542870074398
tamil nadu,mayiladuthurai,3602,4309,119.59478212600612
tamil nadu,nagapattinam,38029,80677,212.1404154614778
tamil nadu,namakkal,45816,120991,264.07447017482593
tamil nadu,perambalur,15661,57037,364.17443493806667
tamil nadu,pudukkottai,52057,130306,250.30927042913675
tamil nadu,ramanathapuram,38291,100419,262.2453776245691
tamil nadu,ranipet,1390,637,45.794392523364486
tamil nadu,salem,106371,240644,226.228706802542
tamil nadu,sivaganga,34296,95190,277.54614106190047
tamil nadu,tenkasi,10020,10203,101.81618600938029
tamil nadu,thanjavur,76835,169567,220.68691759071268
tamil nadu,the nilgiris,15273,44104,288.7521277988739
tamil nadu,theni,38776,86722,223.6428810893055
tamil nadu,thiruvallur,1823,2897,158.82675438596493
tamil nadu,thiruvarur,37780,72799,192.68680024350863
tamil nadu,thoothukkudi,44695,139867,312.92956864148914
tamil nadu,tiruchirappalli,73681,193570,262.71002415786757
tamil nadu,tirunelveli,79890,214773,268.8325343280219
tamil nadu,tirupathur,93,59,62.76595744680851
tamil nadu,tirupattur,9352,12111,129.48786485619587
tamil nadu,tiruppur,85946,148772,173.09737396302373
tamil nadu,tiruvallur,148408,237793,160.2281532791138
tamil nadu,tiruvannamalai,65218,141455,216.89231665618914
tamil nadu,tiruvarur,2,3,100.0
tamil nadu,vellore,89400,191803,214.54234292681292
tamil nadu,villupuram,39568,121261,306.4545477520281
tamil nadu,viluppuram,35788,85466,238.80521948084606
tamil nadu,virudhunagar,57442,121294,211.1554062287833
telangana,adilabad,46010,80283,174.48653582838887
telangana,bhadradri kothagudem,33729,21603,64.04684257337682
telangana,hanumakonda,18975,9017,47.5179173693086
telangana,hyderabad,216457,228541,105.58214526605623
telangana,jagitial,16299,10745,65.920245398773
telangana,jangaon,802,280,34.8692403486924
telangana,jangoan,16900,7279,43.068457487722625
telangana,jayashankar bhupalpally,16261,4568,28.09002582708154
telangana,jogulamba gadwal,33576,11330,33.74333621228817
telangana,kamareddy,24445,15241,62.34557800867218
telangana,karimnagar,77995,135876,174.20893379147648
telangana,khammam,53808,62170,115.53829285063837
telangana,komaram bheem,27458,9677,35.24163298007939
telangana,kv rangareddy,197330,248581,125.97159088029757
telangana,mahabubabad,23410,10180,43.483832386484984
telangana,mahabubnagar,96426,195049,202.27633339209973
telangana,mancherial,27123,12409,45.749152042471614
telangana,medak,54969,126666,230.4275059123158
telangana,medchal malkajgiri,87280,35599,40.7866545983662
telangana,mulugu,11698,5387,46.04667065561159
telangana,nagarkurnool,20170,12454,61.74210500223093
telangana,nalgonda,77441,137989,178.18367294233104
telangana,narayanpet,16732,6287,37.57246160282077
telangana,nirmal,33846,13324,39.36537950187609
telangana,nizamabad,66975,117196,174.98208313425704
telangana,peddapalli,9927,6427,64.73609991941981
telangana,rajanna sircilla,11165,8085,72.40730789897904
telangana,rangareddy,5562,2786,50.080891605248965
telangana,sangareddy,37288,22079,59.21049102952614
telangana,siddipet,35961,16209,45.07257660864246
telangana,suryapet,45789,20093,43.88075999126447
telangana,vikarabad,60549,14223,23.489677952105698
telangana,wanaparthy,25180,9974,39.609229180731504
telangana,warangal,29101,91610,314.7893615559068
telangana,warangal rural,17700,7169,40.50053669284222
telangana,warangal urban,15699,8594,54.738853503184714
telangana,yadadri,39872,12674,31.785920296942795
tripura,dhalai,15817,35615,225.15488683777974
tripura,gomati,9761,14702,150.6043843474698
tripura,khowai,3511,9166,260.9908883826879
tripura,north tripura,14931,47498,318.095365657648
tripura,sepahijala,15325,19625,128.0503719170038
tripura,south tripura,30679,57556,187.60104302477183
tripura,unakoti,3643,15733,431.7508232711306
tripura,west tripura,44346,92260,208.04113017791508
uttar pradesh,agra,175953,235048,133.58491423894884
uttar pradesh,aligarh,186462,199500,106.99173562583462
uttar pradesh,ambedkar nagar,75756,87220,115.13127499768999
uttar pradesh,amethi,76280,93271,122.27291199643425
uttar pradesh,amroha,90302,92672,102.62339014207723
uttar pradesh,auraiya,51799,63182,121.97297297297298
uttar pradesh,ayodhya,85256,102307,119.99835790609568
uttar pradesh,azamgarh,159789,173398,108.51617748294638
uttar pradesh,baghpat,54911,58029,105.6763548951049
uttar pradesh,bagpat,10,8,72.72727272727273
uttar pradesh,bahraich,129697,181078,139.6151058613086
uttar pradesh,ballia,104948,133005,126.73298459251636
uttar pradesh,balrampur,78076,102112,130.78371351358277
uttar pradesh,banda,69435,92491,133.20323751368167
uttar pradesh,bara banki,109967,165242,150.26371308016877
uttar pradesh,barabanki,4960,4224,85.14412416851441
uttar pradesh,bareilly,241742,234808,97.1312509565944
uttar pradesh,basti,84810,109201,128.75806204383866
uttar pradesh,bhadohi,11780,6540,55.513114336643746
uttar pradesh,bijnor,226859,217048,95.67486555584942
uttar pradesh,budaun,171339,110318,64.38543247344461
uttar pradesh,bulandshahar,663,220,33.13253012048193
uttar pradesh,bulandshahr,174757,180832,103.47566348893899
uttar pradesh,chandauli,93604,90545,96.73094385983654
uttar pradesh,chitrakoot,44547,62732,140.81889198168267
uttar pradesh,deoria,109251,138613,126.87456522535057
uttar pradesh,etah,61891,87429,141.2605829509468
uttar pradesh,etawah,62080,79095,127.40613070021422
uttar pradesh,farrukhabad,70138,77196,110.0614494076049
uttar pradesh,fatehpur,107120,117914,110.0755220731696
uttar pradesh,firozabad,139201,113767,81.7279924139021
uttar pradesh,gautam buddha nagar,153991,89441,58.081588653956054
uttar pradesh,ghaziabad,239761,192022,80.08858784961753
uttar pradesh,ghazipur,127840,145692,113.9634389593323
uttar pradesh,gonda,125916,152075,120.77400192190093
uttar pradesh,gorakhpur,158865,178164,112.14734430274571
uttar pradesh,hamirpur,42440,54687,128.85417402982964
uttar pradesh,hapur,44282,56755,128.16430684461307
uttar pradesh,hardoi,143951,205097,142.47596421029232
uttar pradesh,hathras,60658,80404,132.5508168614715
uttar pradesh,jalaun,60673,74682,123.08731911527178
uttar pradesh,jaunpur,155741,183080,117.55338958020316
uttar pradesh,jhansi,71841,112005,155.90462403607916
uttar pradesh,jyotiba phule nagar,606,177,29.159802306425043
uttar pradesh,kannauj,59687,71653,120.04590537461466
uttar pradesh,kanpur dehat,72089,75626,104.90497988625329
uttar pradesh,kanpur nagar,170125,181438,106.64918942430903
uttar pradesh,kasganj,49707,74519,149.9134948096886
uttar pradesh,kaushambi,77012,97595,126.72535805643204
uttar pradesh,kheri,183098,190063,103.80340690009231
uttar pradesh,kushinagar,167395,147905,88.35635260101795
uttar pradesh,lalitpur,46802,75520,161.35717795867785
uttar pradesh,lucknow,209476,217390,103.77750301942457
uttar pradesh,maharajganj,108898,103101,94.6758005124014
uttar pradesh,mahoba,32304,46340,143.44528710725893
uttar pradesh,mahrajganj,44,25,55.55555555555556
uttar pradesh,mainpuri,69441,73791,106.26278044987183
uttar pradesh,mathura,109289,119417,109.26617256839602
uttar pradesh,mau,87700,87861,100.1824380565786
uttar pradesh,meerut,167219,173652,103.8464298528884
uttar pradesh,mirzapur,87276,108192,123.9639309325481
uttar pradesh,moradabad,163505,160474,98.14563379937128
uttar pradesh,muzaffarnagar,135633,169851,125.22745034430895
uttar pradesh,pilibhit,136263,135630,99.53472670698056
uttar pradesh,pratapgarh,104730,131960,125.99898788324373
uttar pradesh,prayagraj,215322,279133,129.63454902634646
uttar pradesh,rae bareli,108253,128738,118.92216453895468
uttar pradesh,raebareli,14,9,60.0
uttar pradesh,rampur,155518,124942,80.33873674599246
uttar pradesh,saharanpur,167814,190716,113.6465750975777
uttar pradesh,sambhal,99589,103347,103.7724671151722
uttar pradesh,sant kabir nagar,79206,90540,114.30807883141641
uttar pradesh,sant ravidas nagar,49163,68073,138.46106907493288
uttar pradesh,sant ravidas nagar bhadohi,297,110,36.91275167785235
uttar pradesh,shahjahanpur,149472,154488,103.35512099175102
uttar pradesh,shamli,75614,103134,136.39357270382862
uttar pradesh,shrawasti,62721,56564,90.18207327572463
uttar pradesh,siddharthnagar,93643,107280,114.56153090427577
uttar pradesh,sitapur,169322,264311,156.09869893635243
uttar pradesh,sonbhadra,72077,103755,143.9482227586781
uttar pradesh,sultanpur,82621,98465,119.17528019171648
uttar pradesh,unnao,124543,146390,117.5407887975334
uttar pradesh,varanasi,159498,182411,114.36498034470435
uttarakhand,almora,15786,32409,205.2891619687084
uttarakhand,bageshwar,6928,21495,310.21792466445373
uttarakhand,chamoli,11790,28402,240.87863624798572
uttarakhand,champawat,12505,23214,185.6229010075164
uttarakhand,dehradun,82622,129280,156.46974813308643
uttarakhand,garhwal,404,337,83.20987654320989
uttarakhand,hardwar,1187,895,75.33670033670033
uttarakhand,haridwar,68900,134636,195.40500137878988
uttarakhand,nainital,49100,69361,141.26188875990306
uttarakhand,pauri garhwal,21130,43759,207.08437840140078
uttarakhand,pithoragarh,14702,30183,205.28463578861457
uttarakhand,rudraprayag,7834,24178,308.58966177409064
uttarakhand,tehri garhwal,25868,57281,221.42719084618653
uttarakhand,udham singh nagar,134865,144867,107.41550872718106
uttarakhand,uttarkashi,10021,24468,244.14288565156656
west bengal,alipurduar,10834,7625,70.37378864790033
west bengal,bally jagachha,1,5,250.0
west bengal,bankura,145827,108049,74.09345256055079
west bengal,barddhaman,170401,181126,106.29335336439713
west bengal,bardhaman,23249,14175,60.967741935483865
west bengal,birbhum,151363,110194,72.80066594434608
west bengal,cooch behar,122859,45164,36.760540452547616
west bengal,dakshin dinajpur,84278,44659,52.989475432788716
west bengal,darjeeling,53637,40102,74.76415973749954
west bengal,darjiling,8271,2586,31.262088974854933
west bengal,domjur,2,3,100.0
west bengal,east midnapore,25251,26704,105.7500396008237
west bengal,east midnapur,20,13,61.904761904761905
west bengal,hooghly,183476,161308,87.9172866353821
west bengal,howrah,147770,127154,86.04800671308985
west bengal,jalpaiguri,187511,80643,43.00684756175605
west bengal,jhargram,7258,4006,55.18666482986637
west bengal,kalimpong,2381,723,30.35264483627204
west bengal,koch bihar,71087,13201,18.56994148098132
west bengal,kolkata,106499,91012,85.45727699530516
west bengal,malda,196468,95359,48.536410324275074
west bengal,maldah,22566,14176,62.81738822173971
west bengal,medinipur,178,75,41.899441340782126
west bengal,murshidabad,371953,219079,58.89948757104373
west bengal,nadia,192343,127801,66.44397537744874
west bengal,north 24 parganas,310212,238563,76.90296667128715
west bengal,north dinajpur,4901,1195,24.37780497756018
west bengal,paschim bardhaman,16681,10105,60.57427167006354
west bengal,paschim medinipur,214180,148750,69.45060486224268
west bengal,purba bardhaman,24451,12845,52.53149026664485
west bengal,purba medinipur,103429,131356,126.99990331625253
west bengal,purulia,7309,3875,53.00957592339262
west bengal,puruliya,155038,92096,59.401827927166714
west bengal,south 24 parganas,443300,258018,58.20379381052603
west bengal,south dinajpur,6819,2125,31.158357771261
west bengal,south dumdumm,8,6,66.66666666666666
west bengal,uttar dinajpur,270232,91756,33.954402312078834
west bengal,west medinipur,12,4,30.76923076923077
west bengal,west midnapore,30680,18978,61.855871712134544
